Year,Item,Area_ha,total_area,area_share,prev_area_share
1977,Potatoes,600.0,194638.0,0.003082645732076984,0.0016328986098876309
1977,Sorghum,42485.0,194638.0,0.21827700654548443,0.190099477902155
1977,Wheat,41676.0,194638.0,0.2141205725500673,0.24008766087274133
1978,Barley,1300.0,227587.0,0.00571210130631363,0.006679065752833465
1978,"Beans, dry",11066.0,227587.0,0.04862316388897433,0.075226831348452
1978,Maize (corn),101683.0,227587.0,0.44678738240760674,0.41274571255356096
1978,Oats,700.0,227587.0,0.0030757468572458007,0.003596420020756481
1978,"Other fruits, n.e.c.",3000.0,227587.0,0.013181772245339144,0.01541322866038492
1978,"Other vegetables, fresh n.e.c.",2800.0,227587.0,0.012302987428983203,0.014385680083025924
1978,"Peas, dry",4348.0,227587.0,0.0191047819075782,0.03647283675335752
1978,Potatoes,800.0,227587.0,0.003515139265423772,0.003082645732076984
1978,Sorghum,59280.0,227587.0,0.2604718195679015,0.21827700654548443
1978,Wheat,42610.0,227587.0,0.18722510512463367,0.2141205725500673
1979,Barley,1300.0,223478.0,0.0058171274129891985,0.00571210130631363
1979,"Beans, dry",10151.0,223478.0,0.04542281566865642,0.04862316388897433
1979,Maize (corn),112263.0,223478.0,0.5023447498187741,0.44678738240760674
1979,Oats,700.0,223478.0,0.003132299376224953,0.0030757468572458007
1979,"Other fruits, n.e.c.",3000.0,223478.0,0.013424140183821227,0.013181772245339144
1979,"Other vegetables, fresh n.e.c.",2800.0,223478.0,0.012529197504899812,0.012302987428983203
1979,"Peas, dry",5702.0,223478.0,0.025514815776049544,0.0191047819075782
1979,Potatoes,1000.0,223478.0,0.004474713394607075,0.003515139265423772
1979,Sorghum,51255.0,223478.0,0.22935143504058564,0.2604718195679015
1979,Wheat,35307.0,223478.0,0.157988705823392,0.18722510512463367
1980,Barley,1300.0,222543.0,0.0058415676970293385,0.0058171274129891985
1980,"Beans, dry",6919.0,222543.0,0.031090620689035377,0.04542281566865642
1980,Maize (corn),110357.0,222543.0,0.4958906818008205,0.5023447498187741
1980,Oats,700.0,222543.0,0.0031454595291696436,0.003132299376224953
1980,"Other fruits, n.e.c.",3000.0,222543.0,0.013480540839298472,0.013424140183821227
1980,"Other vegetables, fresh n.e.c.",2900.0,222543.0,0.013031189477988524,0.012529197504899812
1980,"Peas, dry",5882.0,222543.0,0.026430847072251205,0.025514815776049544
1980,Potatoes,1200.0,222543.0,0.005392216335719389,0.004474713394607075
1980,Sorghum,61333.0,222543.0,0.2756006704322311,0.22935143504058564
1980,Wheat,28952.0,222543.0,0.13009620612645645,0.157988705823392
1981,Barley,1300.0,226116.0,0.005749261441030267,0.0058415676970293385
1981,"Beans, dry",7374.0,226116.0,0.032611579897043996,0.031090620689035377
1981,Maize (corn),124812.0,226116.0,0.5519821684445152,0.4958906818008205
1981,Oats,700.0,226116.0,0.0030957561605547594,0.0031454595291696436
1981,"Other fruits, n.e.c.",3000.0,226116.0,0.013267526402377541,0.013480540839298472
1981,"Other vegetables, fresh n.e.c.",3100.0,226116.0,0.013709777282456792,0.013031189477988524
1981,"Peas, dry",4682.0,226116.0,0.020706186205310548,0.026430847072251205
1981,Potatoes,1200.0,226116.0,0.0053070105609510166,0.005392216335719389
1981,Sorghum,60016.0,226116.0,0.26542128818836347,0.2756006704322311
1981,Wheat,19932.0,226116.0,0.08814944541739637,0.13009620612645645
1982,Barley,1300.0,218752.0,0.005942802808660035,0.005749261441030267
1982,"Beans, dry",13552.0,218752.0,0.061951433586892916,0.032611579897043996
1982,Maize (corn),114282.0,218752.0,0.5224272235225278,0.5519821684445152
1982,Oats,700.0,218752.0,0.003199970743124634,0.0030957561605547594
1982,"Other fruits, n.e.c.",3000.0,218752.0,0.013714160327677005,0.013267526402377541
1982,"Other vegetables, fresh n.e.c.",3400.0,218752.0,0.015542715038033937,0.013709777282456792
1982,"Peas, dry",9180.0,218752.0,0.041965330602691635,0.020706186205310548
1982,Potatoes,1400.0,218752.0,0.006399941486249268,0.0053070105609510166
1982,Sorghum,48044.0,218752.0,0.21962770626097133,0.26542128818836347
1982,Wheat,23894.0,218752.0,0.10922871562317145,0.08814944541739637
1983,Barley,1300.0,202502.0,0.006419689682077214,0.005942802808660035
1983,"Beans, dry",4691.0,202502.0,0.02316520330663401,0.061951433586892916
1983,Maize (corn),103529.0,202502.0,0.5112492716121322,0.5224272235225278
1983,Oats,700.0,202502.0,0.0034567559826569616,0.003199970743124634
1983,"Other fruits, n.e.c.",3050.0,202502.0,0.015061579638719617,0.013714160327677005
1983,"Other vegetables, fresh n.e.c.",3500.0,202502.0,0.017283779913284808,0.015542715038033937
1983,"Peas, dry",8691.0,202502.0,0.04291809463610236,0.041965330602691635
1983,Potatoes,1500.0,202502.0,0.007407334248550631,0.006399941486249268
1983,Sorghum,46537.0,202502.0,0.22981007594986716,0.21962770626097133
1983,Wheat,29004.0,202502.0,0.14322821502997501,0.10922871562317145
1984,Barley,1300.0,227286.0,0.005719665971507264,0.006419689682077214
1984,"Beans, dry",8202.0,227286.0,0.03608669253715583,0.02316520330663401
1984,Maize (corn),116739.0,227286.0,0.5136216044982973,0.5112492716121322
1984,Oats,700.0,227286.0,0.0030798201385039115,0.0034567559826569616
1984,"Other fruits, n.e.c.",3050.0,227286.0,0.013419216317767043,0.015061579638719617
1984,"Other vegetables, fresh n.e.c.",3600.0,227286.0,0.015839074998020116,0.017283779913284808
1984,"Peas, dry",7900.0,227286.0,0.034757970134544146,0.04291809463610236
1984,Potatoes,1600.0,227286.0,0.00703958888800894,0.007407334248550631
1984,Sorghum,54682.0,227286.0,0.24058674973381555,0.22981007594986716
1984,Wheat,29513.0,227286.0,0.1298496167823799,0.14322821502997501
1985,Barley,1300.0,254977.0,0.005098499080309204,0.005719665971507264
1985,"Beans, dry",7280.0,254977.0,0.028551594849731545,0.03608669253715583
1985,Maize (corn),118061.0,254977.0,0.4630260768618346,0.5136216044982973
1985,Oats,700.0,254977.0,0.002745345658628033,0.0030798201385039115
1985,"Other fruits, n.e.c.",3050.0,254977.0,0.011961863226879288,0.013419216317767043
1985,"Other vegetables, fresh n.e.c.",3700.0,254977.0,0.01451111276703389,0.015839074998020116
1985,"Peas, dry",7257.0,254977.0,0.028461390635233765,0.034757970134544146
1985,Potatoes,1800.0,254977.0,0.007059460265043514,0.00703958888800894
1985,Sorghum,75559.0,254977.0,0.2963365323146794,0.24058674973381555
1985,Wheat,36270.0,254977.0,0.1422481243406268,0.1298496167823799
1986,Barley,1300.0,224160.0,0.0057994289793005,0.005098499080309204
1986,"Beans, dry",16943.0,224160.0,0.0755844039971449,0.028551594849731545
1986,Maize (corn),122008.0,224160.0,0.5442897930049965,0.4630260768618346
1986,Oats,700.0,224160.0,0.0031227694503925766,0.002745345658628033
1986,"Other fruits, n.e.c.",3050.0,224160.0,0.013606352605281941,0.011961863226879288
1986,"Other vegetables, fresh n.e.c.",3700.0,224160.0,0.01650606709493219,0.01451111276703389
1986,"Peas, dry",3502.0,224160.0,0.015622769450392577,0.028461390635233765
1986,Potatoes,2000.0,224160.0,0.008922198429693077,0.007059460265043514
1986,Sorghum,51929.0,224160.0,0.2316604211277659,0.2963365323146794
1986,Wheat,19028.0,224160.0,0.08488579586009992,0.1422481243406268
1987,Barley,1300.0,268665.0,0.004838739694414978,0.0057994289793005
1987,"Beans, dry",12878.0,268665.0,0.04793329983436622,0.0755844039971449
1987,Maize (corn),142422.0,268665.0,0.5301099882753615,0.5442897930049965
1987,Oats,700.0,268665.0,0.0026054752200696035,0.0031227694503925766
1987,"Other fruits, n.e.c.",3050.0,268665.0,0.011352427744588986,0.013606352605281941
1987,"Other vegetables, fresh n.e.c.",3700.0,268665.0,0.013771797591796475,0.01650606709493219
1987,"Peas, dry",3803.0,268665.0,0.014155174659892432,0.015622769450392577
1987,Potatoes,2300.0,268665.0,0.008560847151657268,0.008922198429693077
1987,Sorghum,70909.0,268665.0,0.26393091768559357,0.2316604211277659
1987,Wheat,27603.0,268665.0,0.10274133214225895,0.08488579586009992
1988,Barley,1300.0,319375.0,0.0040704500978473585,0.004838739694414978
1988,"Beans, dry",23323.0,319375.0,0.07302700587084149,0.04793329983436622
1988,Maize (corn),173214.0,319375.0,0.5423530332681018,0.5301099882753615
1988,Oats,700.0,319375.0,0.002191780821917808,0.0026054752200696035
1988,"Other fruits, n.e.c.",3050.0,319375.0,0.009549902152641879,0.011352427744588986
1988,"Other vegetables, fresh n.e.c.",3700.0,319375.0,0.011585127201565558,0.013771797591796475
1988,"Peas, dry",5329.0,319375.0,0.016685714285714286,0.014155174659892432
1988,Potatoes,2500.0,319375.0,0.007827788649706457,0.008560847151657268
1988,Sorghum,76355.0,319375.0,0.23907632093933465,0.26393091768559357
1988,Wheat,29904.0,319375.0,0.09363287671232877,0.10274133214225895
1989,Barley,1000.0,245911.0,0.004066511868114887,0.0040704500978473585
1989,"Beans, dry",17911.0,245911.0,0.07283529406980574,0.07302700587084149
1989,Maize (corn),130996.0,245911.0,0.5326967886755778,0.5423530332681018
1989,Oats,700.0,245911.0,0.002846558307680421,0.002191780821917808
1989,"Other fruits, n.e.c.",3050.0,245911.0,0.012402861197750406,0.009549902152641879
1989,"Other vegetables, fresh n.e.c.",3700.0,245911.0,0.015046093912025082,0.011585127201565558
1989,"Peas, dry",1505.0,245911.0,0.006120100361512905,0.016685714285714286
1989,Potatoes,2900.0,245911.0,0.011792884417533173,0.007827788649706457
1989,Sorghum,40499.0,245911.0,0.16468966414678482,0.23907632093933465
1989,Wheat,43650.0,245911.0,0.17750324304321483,0.09363287671232877
1990,Barley,260.0,258815.0,0.001004578559975272,0.004066511868114887
1990,"Beans, dry",4476.0,258815.0,0.017294206286343528,0.07283529406980574
1990,Maize (corn),155976.0,258815.0,0.60265440565655,0.5326967886755778
1990,Oats,756.0,258815.0,0.0029210053513127137,0.002846558307680421
1990,"Other fruits, n.e.c.",3055.0,258815.0,0.011803798079709445,0.012402861197750406
1990,"Other vegetables, fresh n.e.c.",3370.0,258815.0,0.01302088364275641,0.015046093912025082
1990,"Peas, dry",11859.0,258815.0,0.04582037362594904,0.006120100361512905
1990,Potatoes,2549.0,258815.0,0.009848733651449877,0.011792884417533173
1990,Sorghum,35663.0,258815.0,0.1377934045553774,0.16468966414678482
1990,Wheat,40851.0,258815.0,0.15783861059057627,0.17750324304321483
1991,Barley,1413.0,174434.0,0.008100484997190915,0.001004578559975272
1991,"Beans, dry",7345.0,174434.0,0.042107616634371736,0.017294206286343528
1991,Maize (corn),90461.0,174434.0,0.518597291812376,0.60265440565655
1991,Oats,698.0,174434.0,0.004001513466411364,0.0029210053513127137
1991,"Other fruits, n.e.c.",3955.0,174434.0,0.022673332033892477,0.011803798079709445
1991,"Other vegetables, fresh n.e.c.",3000.0,174434.0,0.01719848194732678,0.01302088364275641
1991,"Peas, dry",10828.0,174434.0,0.062075054175218136,0.04582037362594904
1991,Potatoes,3200.0,174434.0,0.0183450474104819,0.009848733651449877
1991,Sorghum,18601.0,174434.0,0.10663632090074182,0.1377934045553774
1991,Wheat,34933.0,174434.0,0.20026485662198884,0.15783861059057627
1992,Barley,1514.0,171796.0,0.008812777945935877,0.008100484997190915
1992,"Beans, dry",4466.0,171796.0,0.02599594868332208,0.042107616634371736
1992,Maize (corn),105454.0,171796.0,0.6138326852778877,0.518597291812376
1992,Oats,658.0,171796.0,0.0038301241006775478,0.004001513466411364
1992,"Other fruits, n.e.c.",3753.0,171796.0,0.02184567743137209,0.022673332033892477
1992,"Other vegetables, fresh n.e.c.",3129.0,171796.0,0.01821346247875387,0.01719848194732678
1992,"Peas, dry",3509.0,171796.0,0.020425388251181634,0.062075054175218136
1992,Potatoes,3700.0,171796.0,0.02153717199469138,0.0183450474104819
1992,Sorghum,31797.0,171796.0,0.18508579943654102,0.10663632090074182
1992,Wheat,13816.0,171796.0,0.08042096439963678,0.20026485662198884
1993,Barley,1500.0,174562.0,0.008592935461326062,0.008812777945935877
1993,"Beans, dry",4600.0,174562.0,0.02635166874806659,0.02599594868332208
1993,Maize (corn),103437.0,174562.0,0.5925516435421225,0.6138326852778877
1993,Oats,613.0,174562.0,0.0035116462918619172,0.0038301241006775478
1993,"Other fruits, n.e.c.",3440.0,174562.0,0.0197064653246411,0.02184567743137209
1993,"Other vegetables, fresh n.e.c.",3244.0,174562.0,0.01858365509102783,0.01821346247875387
1993,"Peas, dry",1710.0,174562.0,0.00979594642591171,0.020425388251181634
1993,Potatoes,4000.0,174562.0,0.022914494563536166,0.02153717199469138
1993,Sorghum,40930.0,174562.0,0.2344725656213838,0.18508579943654102
1993,Wheat,11088.0,174562.0,0.06351897893012225,0.08042096439963678
1994,Barley,1294.0,296854.0,0.0043590451871964,0.008592935461326062
1994,"Beans, dry",8366.0,296854.0,0.0281822040464336,0.02635166874806659
1994,Maize (corn),172743.0,296854.0,0.5819123205346736,0.5925516435421225
1994,Oats,515.0,296854.0,0.0017348595605920756,0.0035116462918619172
1994,"Other fruits, n.e.c.",3306.0,296854.0,0.011136787781198839,0.0197064653246411
1994,"Other vegetables, fresh n.e.c.",3901.0,296854.0,0.013141140089067353,0.01858365509102783
1994,"Peas, dry",4407.0,296854.0,0.014845681715590829,0.00979594642591171
1994,Potatoes,4500.0,296854.0,0.015158967034299689,0.022914494563536166
1994,Sorghum,69350.0,296854.0,0.233616525295263,0.2344725656213838
1994,Wheat,28472.0,296854.0,0.09591246875568461,0.06351897893012225
1995,Barley,1284.0,122624.0,0.010471033402922755,0.0043590451871964
1995,"Beans, dry",3635.0,122624.0,0.029643462943632567,0.0281822040464336
1995,Maize (corn),76955.0,122624.0,0.6275688282881002,0.5819123205346736
1995,Oats,600.0,122624.0,0.004893006263048017,0.0017348595605920756
1995,"Other fruits, n.e.c.",3090.0,122624.0,0.025198982254697286,0.011136787781198839
1995,"Other vegetables, fresh n.e.c.",2998.0,122624.0,0.024448721294363256,0.013141140089067353
1995,"Peas, dry",3743.0,122624.0,0.03052420407098121,0.014845681715590829
1995,Potatoes,4545.0,122624.0,0.037064522442588725,0.015158967034299689
1995,Sorghum,8579.0,122624.0,0.06996183455114822,0.233616525295263
1995,Wheat,17195.0,122624.0,0.14022540448851775,0.09591246875568461
1996,Barley,1639.0,243276.0,0.006737203834328088,0.010471033402922755
1996,"Beans, dry",10014.0,243276.0,0.04116312336605337,0.029643462943632567
1996,Maize (corn),150908.0,243276.0,0.6203160196649073,0.6275688282881002
1996,Oats,700.0,243276.0,0.0028773902892188295,0.004893006263048017
1996,"Other fruits, n.e.c.",3257.0,243276.0,0.013388085959979612,0.025198982254697286
